SampleID	Compartment	host_common_name	Phylum2	depth	phy_total	prop
Arw.12	Rhizosphere	Mudplantain	OD1	25175	3	1.5888147442008263e-4
Arw.12	Rhizosphere	Mudplantain	OP11	25175	3	1.5888147442008263e-4
Arw.12	Rhizosphere	Mudplantain	OP3	25175	6	2.780425802351446e-4
Arw.12	Rhizosphere	Mudplantain	OP8	25175	0	3.972036860502066e-5
Arw.12	Rhizosphere	Mudplantain	PAUC34f	25175	0	3.972036860502066e-5
Arw.12	Rhizosphere	Mudplantain	Planctomycetes	25175	987	0.039243724181760406
Arw.12	Rhizosphere	Mudplantain	SBR1093	25175	0	3.972036860502066e-5
Arw.12	Rhizosphere	Mudplantain	Spirochaetes	25175	96	0.0038528757546870034
Arw.12	Rhizosphere	Mudplantain	SR1	25175	0	3.972036860502066e-5
Arw.12	Rhizosphere	Mudplantain	Tenericutes	25175	0	3.972036860502066e-5
Arw.12	Rhizosphere	Mudplantain	TM6	25175	1	7.944073721004132e-5
Arw.12	Rhizosphere	Mudplantain	TM7	25175	2	1.1916110581506196e-4
Arw.12	Rhizosphere	Mudplantain	TPD-58	25175	0	3.972036860502066e-5
Arw.12	Rhizosphere	Mudplantain	unclassified	25175	0	3.972036860502066e-5
Arw.12	Rhizosphere	Mudplantain	Verrucomicrobia	25175	2185	0.08682872577057515
Arw.12	Rhizosphere	Mudplantain	WPS-2	25175	10	4.369240546552272e-4
Arw.12	Rhizosphere	Mudplantain	WS1	25175	0	3.972036860502066e-5
Arw.12	Rhizosphere	Mudplantain	WS2	25175	3	1.5888147442008263e-4
Arw.12	Rhizosphere	Mudplantain	WS3	25175	18	7.546870034953924e-4
Arw.12	Rhizosphere	Mudplantain	WS4	25175	0	3.972036860502066e-5
Arw.12	Rhizosphere	Mudplantain	WS5	25175	0	3.972036860502066e-5
Arw.12	Rhizosphere	Mudplantain	WWE1	25175	0	3.972036860502066e-5
Arw.12	Rhizosphere	Mudplantain	ZB3	25175	0	3.972036860502066e-5
Arw.12	Rhizosphere	Mudplantain	Alphaproteobacteria	25175	2954	0.11737368922783603
Arw.12	Rhizosphere	Mudplantain	Betaproteobacteria	25175	4376	0.1738560533841754
Arw.12	Rhizosphere	Mudplantain	Deltaproteobacteria	25175	2171	0.08627264061010487
Arw.12	Rhizosphere	Mudplantain	Epsilonproteobacteria	25175	2	1.1916110581506196e-4
Arw.12	Rhizosphere	Mudplantain	Gammaproteobacteria	25175	1379	0.0548141086749285
Arw.12	Rhizosphere	Mudplantain	TA18	25175	0	3.972036860502066e-5
Arw.12	Rhizosphere	Mudplantain	Zetaproteobacteria	25175	0	3.972036860502066e-5
Arw.13	Rhizosphere	Redstem	[Parvarchaeota]	22435	0	4.457122481725798e-5
Arw.13	Rhizosphere	Redstem	[Thermi]	22435	1	8.914244963451596e-5
Arw.13	Rhizosphere	Redstem	AC1	22435	0	4.457122481725798e-5
Arw.13	Rhizosphere	Redstem	Acidobacteria	22435	4478	0.19963451595649848
Arw.13	Rhizosphere	Redstem	Actinobacteria	22435	1022	0.04559636298805491
Arw.13	Rhizosphere	Redstem	AD3	22435	0	4.457122481725798e-5
Arw.13	Rhizosphere	Redstem	Armatimonadetes	22435	379	0.01693706543055803
Arw.13	Rhizosphere	Redstem	Bacteroidetes	22435	1612	0.07189338563023712
Arw.13	Rhizosphere	Redstem	BHI80-139	22435	0	4.457122481725798e-5
Arw.13	Rhizosphere	Redstem	BRC1	22435	50	0.002273132465680157
Arw.13	Rhizosphere	Redstem	Caldiserica	22435	0	4.457122481725798e-5
Arw.13	Rhizosphere	Redstem	Chlamydiae	22435	0	4.457122481725798e-5
Arw.13	Rhizosphere	Redstem	Chlorobi	22435	198	0.008869673738634338
Arw.13	Rhizosphere	Redstem	Chloroflexi	22435	1461	0.06516313068283117
Arw.13	Rhizosphere	Redstem	Crenarchaeota	22435	59	0.002674273489035479
Arw.13	Rhizosphere	Redstem	Cyanobacteria	22435	266	0.01190051702620788
Arw.13	Rhizosphere	Redstem	Elusimicrobia	22435	14	6.685683722588697e-4
Arw.13	Rhizosphere	Redstem	Euryarchaeota	22435	119	0.005348546978070958
Arw.13	Rhizosphere	Redstem	FBP	22435	13	6.239971474416117e-4
Arw.13	Rhizosphere	Redstem	FCPU426	22435	1	8.914244963451596e-5
Arw.13	Rhizosphere	Redstem	Fibrobacteres	22435	3	1.7828489926903192e-4
Arw.13	Rhizosphere	Redstem	Firmicutes	22435	363	0.016223925833481905
Arw.13	Rhizosphere	Redstem	Fusobacteria	22435	6	3.1199857372080585e-4
Arw.13	Rhizosphere	Redstem	GAL15	22435	0	4.457122481725798e-5
Arw.13	Rhizosphere	Redstem	Gemmatimonadetes	22435	1127	0.050276341593867
Arw.13	Rhizosphere	Redstem	GN02	22435	0	4.457122481725798e-5
Arw.13	Rhizosphere	Redstem	GN04	22435	1	8.914244963451596e-5
Arw.13	Rhizosphere	Redstem	GOUTA4	22435	4	2.228561240862899e-4
Arw.13	Rhizosphere	Redstem	Kazan-3B-28	22435	0	4.457122481725798e-5
Arw.13	Rhizosphere	Redstem	KSB3	22435	0	4.457122481725798e-5
Arw.13	Rhizosphere	Redstem	Lentisphaerae	22435	4	2.228561240862899e-4
Arw.13	Rhizosphere	Redstem	MVS-104	22435	0	4.457122481725798e-5
Arw.13	Rhizosphere	Redstem	NC10	22435	14	6.685683722588697e-4
Arw.13	Rhizosphere	Redstem	Nitrospirae	22435	43	0.001961133891959351
Arw.13	Rhizosphere	Redstem	NKB19	22435	32	0.0014708504189695133
Arw.13	Rhizosphere	Redstem	OC31	22435	0	4.457122481725798e-5
Arw.13	Rhizosphere	Redstem	OD1	22435	2	1.3371367445177393e-4
Arw.13	Rhizosphere	Redstem	OP11	22435	0	4.457122481725798e-5
Arw.13	Rhizosphere	Redstem	OP3	22435	13	6.239971474416117e-4
Arw.13	Rhizosphere	Redstem	OP8	22435	0	4.457122481725798e-5
Arw.13	Rhizosphere	Redstem	PAUC34f	22435	0	4.457122481725798e-5
Arw.13	Rhizosphere	Redstem	Planctomycetes	22435	602	0.02687644856480656
Arw.13	Rhizosphere	Redstem	SBR1093	22435	0	4.457122481725798e-5
Arw.13	Rhizosphere	Redstem	Spirochaetes	22435	95	0.004278837582456766
Arw.13	Rhizosphere	Redstem	SR1	22435	1	8.914244963451596e-5
